id_municipio,baixados,novos,pendentes,muni_nm,uf_sigla,regiao_nm,idhm,idhm_e,idhm_l,idhm_r,espvida,rdpc,gini,pop,lat,lon
3204708,2431,2436,135002,SÃO GABRIEL DA PALHA,ES,Sudeste,0.709,0.578,0.835,0.739,75.08,792.54,0.6,31059,-19.017,-40.536
3204807,638,377,32787,SÃO JOSÉ DO CALÇADO,ES,Sudeste,0.688,0.599,0.814,0.669,73.81,514.57,0.51,10167,-21.025,-41.654
3204906,8839,6667,230181,SÃO MATEUS,ES,Sudeste,0.735,0.655,0.843,0.719,75.55,699.99,0.57,107298,-18.716,-39.859
3205002,34413,26820,975631,SERRA,ES,Sudeste,0.739,0.664,0.844,0.72,75.66,705.89,0.47,407516,-20.129,-40.308
3205036,1623,1089,42354,VARGEM ALTA,ES,Sudeste,0.663,0.544,0.814,0.658,73.81,480.01,0.45,18989,-20.671,-41.007
3205069,2338,1358,50734,VENDA NOVA DO IMIGRANTE,ES,Sudeste,0.728,0.624,0.845,0.731,75.69,754.66,0.52,20425,-20.34,-41.135
3205101,4240,3389,195660,VIANA,ES,Sudeste,0.686,0.589,0.816,0.672,73.94,523.61,0.42,62191,-20.39,-40.496
3205200,39142,27269,1134553,VILA VELHA,ES,Sudeste,0.8,0.734,0.864,0.807,76.84,1211.79,0.56,411418,-20.33,-40.292
3205309,58956,42005,1822583,VITÓRIA,ES,Sudeste,0.845,0.805,0.855,0.876,76.28,1866.58,0.6,325368,-20.319,-40.338
3300100,26948,8089,1147354,ANGRA DOS REIS,RJ,Sudeste,0.724,0.605,0.846,0.74,75.75,798.68,0.5,168559,-23.007,-44.318
3300159,29,NA,886,APERIBÉ,RJ,Sudeste,0.692,0.631,0.785,0.67,72.1,516.14,0.43,10177,-21.621,-42.103
3300209,8078,6532,681252,ARARUAMA,RJ,Sudeste,0.718,0.617,0.839,0.714,75.32,680.88,0.54,111065,-22.873,-42.343
3300233,6080,23009,715114,ARMAÇÃO DOS BÚZIOS,RJ,Sudeste,0.728,0.624,0.824,0.75,74.44,851.39,0.51,27276,-22.747,-41.882
3300258,3459,9155,439667,ARRAIAL DO CABO,RJ,Sudeste,0.733,0.677,0.805,0.722,73.31,714.47,0.47,27577,-22.966,-42.028
3300308,7999,13129,643907,BARRA DO PIRAÍ,RJ,Sudeste,0.733,0.665,0.819,0.723,74.14,719.16,0.51,94463,-22.47,-43.826
3300407,20825,16060,1103064,BARRA MANSA,RJ,Sudeste,0.729,0.657,0.819,0.72,74.14,705.1,0.48,177299,-22.544,-44.171
3300456,17007,56973,1165889,BELFORD ROXO,RJ,Sudeste,0.684,0.598,0.808,0.662,73.5,491.51,0.42,467432,-22.764,-43.399
3300506,1240,1259,129798,BOM JARDIM,RJ,Sudeste,0.66,0.503,0.809,0.707,73.56,649.62,0.48,24963,-22.152,-42.419
3300605,4293,2511,334408,BOM JESUS DO ITABAPOANA,RJ,Sudeste,0.732,0.662,0.819,0.723,74.16,717.69,0.56,35024,-21.134,-41.68
3300704,68439,14744,1650667,CABO FRIO,RJ,Sudeste,0.735,0.64,0.836,0.743,75.16,815.75,0.54,184918,-22.879,-42.019
3300803,8006,5352,468801,CACHOEIRAS DE MACACU,RJ,Sudeste,0.7,0.603,0.817,0.695,74.01,604.45,0.49,54175,-22.463,-42.653
3300902,3017,929,114751,CAMBUCI,RJ,Sudeste,0.691,0.608,0.809,0.672,73.51,524.88,0.47,14743,-21.575,-41.911
